CustomerID,CustomerName,Email,Phone,City,TotalOrders,TotalQuantity,TotalSpent,AverageOrderValue,FirstPurchase,LastPurchase
1,Lisa Walker,davisjoseph@example.net,4462083642,Rhondachester,0.0,0.0,0.0,0.0,,
2,Scott Harris,michealvalencia@example.net,7185588185,Taylorhaven,0.0,0.0,0.0,0.0,,
3,Ashley Stuart,christyjackson@example.com,6604339598,Lake Alanfort,0.0,0.0,0.0,0.0,,
4,Kimberly Werner,linda59@example.net,1206364729,Glassborough,2.0,7.0,246017.0,123008.5,2026-03-11,2026-06-15
5,Sara Sanchez,clintontorres@example.net,7804546965,Port Derekbury,1.0,1.0,72707.0,72707.0,2026-01-13,2026-01-13
6,Douglas Hopkins,zruiz@example.com,766067115,New Jacobfurt,2.0,7.0,470769.0,235384.5,2026-04-26,2026-04-26
7,Robin Williams,esolomon@example.org,5274355262,West Jacqueline,1.0,5.0,222110.0,222110.0,2026-07-08,2026-07-08
8,Teresa White,garyjones@example.org,6658794733,Deanburgh,1.0,4.0,177688.0,177688.0,2026-05-26,2026-05-26
9,Mark Brown,david92@example.org,7703703744,Jenniferborough,0.0,0.0,0.0,0.0,,
10,Nicole Gomez,wendyvaldez@example.com,5307196705,Andersenland,1.0,4.0,14252.0,14252.0,2026-02-25,2026-02-25
11,Robert Paul,lewismargaret@example.org,227843918,West Richard,1.0,3.0,182697.0,182697.0,2026-02-17,2026-02-17
12,Norman Anderson,jessica27@example.org,993925753,Diazview,1.0,2.0,85876.0,85876.0,2026-06-15,2026-06-15
13,Brian Rice,michelle81@example.com,4708203304,South Barbaraport,0.0,0.0,0.0,0.0,,
14,Steven Russo,gina93@example.net,9539633508,Ericborough,3.0,10.0,634566.0,211522.0,2026-04-16,2026-07-22
15,Lisa Gilbert,bonnieguzman@example.com,9649476646,East Kimberly,2.0,5.0,225187.0,112593.5,2026-03-15,2026-04-21
16,Aaron Cline,abbottsteven@example.net,1425284137,Justintown,1.0,4.0,212228.0,212228.0,2026-08-05,2026-08-05
17,Mrs. Nicole Hernandez,mario12@example.org,5352383262,Tinaside,0.0,0.0,0.0,0.0,,
18,Sean Johnson,rossmichael@example.net,8835133557,Port Rogerport,2.0,8.0,397138.0,198569.0,2026-07-12,2026-08-15
19,Julie Villegas,kwatson@example.com,3922588117,New Michellemouth,2.0,9.0,291939.0,145969.5,2026-03-03,2026-05-03
