CustomerID,TotalSpent,CustomerName
20,796020.0,Brittany Banks
14,634566.0,Steven Russo
99,616147.0,Elizabeth Cohen DDS
43,601853.0,Donald Fritz
52,501116.0,Melissa Peck
6,470769.0,Douglas Hopkins
100,468788.0,Jennifer Butler
18,397138.0,Sean Johnson
92,376435.0,Aaron Fowler
85,361580.0,Mark Smith
71,358403.0,Jeffrey Williams
90,351750.0,Scott Owen
34,348498.0,Amanda George MD
55,330955.0,Brian Johnson
47,322125.0,Beth Gonzalez
97,292170.0,Shannon Roth
19,291939.0,Julie Villegas
51,288185.0,Brandon Robinson
32,287780.0,Michael Wilson
66,283779.0,George Kemp
54,273896.0,Joel Gordon
24,273896.0,Paul Simpson
94,258588.0,Amanda Lam
62,253922.0,Jared Woods
4,246017.0,Kimberly Werner
60,230588.0,Rachel Wilson
88,227892.0,Charles Ramirez
15,225187.0,Lisa Gilbert
7,222110.0,Robin Williams
72,213252.0,Alexander Klein
41,212228.0,Lisa Hickman
16,212228.0,Aaron Cline
84,199575.0,Mary King
37,195333.0,Victor Martinez
53,188981.0,Patricia Brown
11,182697.0,Robert Paul
8,177688.0,Teresa White
91,165667.0,Patricia Bradley
75,156412.0,Aaron Mckenzie
56,128814.0,Dylan Henry
23,118880.0,Wayne Short
87,111127.0,Anthony Taylor
74,109735.0,Jonathan Reese
89,101274.0,Christopher Lyons
21,92060.0,Andrew Mills
12,85876.0,Norman Anderson
45,82161.0,Dr. Scott Phillips
83,75758.0,Mark Jones
5,72707.0,Sara Sanchez
64,63620.0,Paul Byrd
50,61373.0,Ronald Drake
48,59440.0,Kyle Wright
26,56973.0,John Gibson
77,49848.0,Tammy Wright
25,41604.0,Barbara Kline
28,39175.0,Lori Castro
67,26778.0,Ann Gray
59,25004.0,Lynn Olson
80,20228.0,Vanessa Schultz
10,14252.0,Nicole Gomez
29,14252.0,Nicole Reynolds
96,12604.0,Joshua Hansen
36,8084.0,Emily Peters
